age,gender,mother.tongue,genre,amazement,solemnity,tenderness,nostalgia,calmness,power,joyful_activation,tension,sadness,liked,disliked,emotional_intensity
32,Male,Spanish,classical,0,0,0,1,1,0,0,0,1,0,0,3
51,Male,Spanish,classical,0,0,0,0,0,0,1,0,0,1,0,1
36,Female,Japanese,classical,0,0,0,0,0,0,1,0,0,1,0,1
46,Female,Dutch,classical,1,0,0,0,1,0,0,0,0,1,0,2
45,Female,English,classical,0,0,0,0,0,0,0,1,1,0,0,2
30,Male,German,classical,0,1,0,0,0,0,0,0,0,0,1,1
70,Female,English,classical,0,0,0,0,0,1,1,0,0,1,0,2
54,Female,English,classical,0,1,0,0,0,1,0,0,0,1,0,2
16,Female,English,classical,0,0,0,0,0,1,1,1,0,0,1,3
30,Female,Dutch,classical,0,0,0,1,0,0,1,0,0,0,0,2
33,Male,French,classical,0,0,0,0,0,0,0,1,1,0,1,2
17,Female,English,classical,0,1,0,0,0,0,0,1,0,0,1,2
35,Male,Arabic,classical,0,0,0,0,0,1,0,0,0,1,0,1
51,Male,Dutch,classical,0,1,0,0,0,0,0,0,0,0,0,1
63,Male,Dutch,classical,0,1,0,1,0,0,1,0,0,1,0,3
29,Male,English,classical,0,0,0,0,0,0,0,1,0,0,0,1
20,Female,Dutch,classical,1,0,0,0,0,1,1,0,0,0,0,3
37,Male,German,classical,0,1,0,1,1,0,0,0,0,0,0,3
25,Male,French,classical,0,1,0,1,0,0,0,0,0,0,0,2
30,Female,German,classical,0,1,0,0,0,0,0,0,0,0,1,1
33,Male,Russian,classical,0,1,0,0,0,0,0,1,1,1,0,3
30,Female,English,classical,0,0,1,0,0,0,1,0,0,0,0,2
36,Female,Spanish,classical,0,0,0,0,0,1,0,0,0,0,0,1
19,Female,Russian,classical,0,0,0,1,0,1,0,0,1,1,0,3
25,Male,English,classical,0,1,1,0,0,0,0,0,0,0,1,2
21,Male,English,classical,1,0,0,0,0,1,1,0,0,1,0,3
34,Female,English,classical,0,1,0,0,0,0,0,0,0,0,0,1
46,Female,French,classical,0,0,0,0,0,0,1,0,0,0,0,1
30,Male,Urdu,classical,1,1,0,0,1,0,0,0,0,0,0,3
25,Female,English,classical,0,0,0,1,0,0,0,0,1,0,0,2
58,Female,Dutch,classical,0,0,0,0,0,0,1,0,0,0,0,1
57,Female,English,classical,0,0,0,0,0,0,0,1,0,0,0,1
20,Male,Dutch,classical,0,0,0,0,0,1,1,0,0,0,1,2
30,Male,Dutch,classical,1,0,1,0,0,0,1,0,0,0,0,3
48,Male,German,classical,0,1,0,0,0,0,0,1,0,1,0,2
38,Female,Russian,classical,0,0,0,0,0,1,0,1,0,1,0,2
51,Male,English,classical,0,0,0,0,0,0,1,0,0,1,0,1
26,Male,Russian,classical,0,0,1,0,0,0,1,0,0,1,0,2
27,Male,Spanish,classical,0,1,0,0,0,1,1,0,0,1,0,3
25,Female,Russian,classical,0,1,0,0,0,0,0,0,1,0,0,2
33,Male,Czech,classical,0,0,0,0,0,1,0,0,0,1,0,1
22,Female,French,classical,1,0,1,0,0,0,1,0,0,1,0,3
44,Female,French,classical,1,0,0,1,0,0,1,0,0,1,0,3
28,Female,Estonian,classical,0,0,0,0,0,1,0,1,1,1,0,3
33,Male,German,classical,0,1,0,1,0,0,0,0,0,1,0,2
18,Male,Dutch,classical,1,0,1,0,0,0,1,0,0,0,0,3
59,Female,Russian,classical,0,0,0,0,0,0,0,1,0,0,0,1
36,Female,Japanese,classical,0,0,0,1,1,0,0,0,0,0,0,2
46,Female,Dutch,classical,0,0,0,1,1,0,0,0,0,1,0,2
45,Female,English,classical,1,0,1,0,1,0,0,0,0,0,0,3
25,Female,Dutch,classical,0,1,0,0,1,0,0,0,0,0,0,2
47,Female,Dutch,classical,0,0,1,1,1,0,0,0,0,1,0,3
30,Female,Dutch,classical,0,1,0,1,0,0,0,0,0,0,0,2
33,Male,French,classical,0,0,0,0,1,0,0,0,0,1,0,1
28,Female,English,classical,0,0,0,0,0,0,0,1,0,0,1,1
35,Male,Arabic,classical,0,0,0,1,0,0,0,0,0,1,0,1
51,Male,Dutch,classical,0,0,0,0,1,0,0,0,0,1,0,1
36,Female,Spanish,classical,0,0,0,0,1,0,0,0,1,0,0,2
29,Male,English,classical,0,0,1,0,1,0,0,0,0,0,0,2
21,Male,English,classical,0,0,1,1,1,0,0,0,0,1,0,3
20,Female,Dutch,classical,0,0,1,0,1,0,0,0,0,1,0,2
30,Female,English,classical,0,0,0,0,1,0,0,0,0,0,0,1
19,Female,Russian,classical,0,0,0,0,1,1,0,0,1,1,0,3
27,Male,Spanish,classical,1,0,1,0,1,0,0,0,0,0,0,3
29,Female,Russian,classical,0,0,1,1,1,0,0,0,0,0,0,3
45,Male,Korean,classical,0,0,1,1,1,0,0,0,0,1,0,3
25,Male,English,classical,0,0,1,0,1,0,0,0,0,0,1,2
30,Male,German,classical,0,0,1,1,1,0,0,0,0,0,1,3
30,Male,Urdu,classical,0,1,1,0,1,0,0,0,0,1,0,3
46,Female,French,classical,0,0,0,1,0,0,0,0,0,0,0,1
26,Male,Russian,classical,0,0,1,1,1,0,0,0,0,0,0,3
42,Female,Dutch,classical,0,1,0,1,1,0,0,0,0,1,0,3
22,Female,French,classical,0,0,1,1,1,0,0,0,0,0,0,3
57,Female,English,classical,0,0,1,0,0,0,0,0,0,1,0,1
24,Female,Dutch,classical,0,0,0,1,0,0,0,0,1,0,1,2
30,Male,Dutch,classical,0,1,1,0,1,0,0,0,0,0,0,3
28,Female,English,classical,0,0,1,1,1,0,0,0,0,0,0,3
48,Male,German,classical,0,0,0,0,1,0,0,0,0,1,0,1
38,Female,Russian,classical,1,0,1,0,1,0,0,0,0,0,0,3
51,Male,English,classical,0,0,0,0,1,0,0,0,0,0,0,1
33,Male,German,classical,0,0,1,0,1,0,0,0,0,0,0,2
33,Male,Czech,classical,1,0,1,0,0,0,0,0,0,1,0,2
44,Female,French,classical,0,0,0,1,1,0,0,0,1,1,0,3
28,Female,Estonian,classical,0,0,1,1,1,0,0,0,0,0,0,3
59,Female,Russian,classical,0,0,0,1,0,0,0,0,0,1,0,1
69,Female,German,classical,1,0,1,0,1,0,0,0,0,0,0,3
51,Male,Spanish,classical,0,1,0,0,0,0,0,0,0,1,0,1
35,Male,Arabic,classical,0,1,0,0,0,0,0,0,0,0,0,1
27,Female,Chinese,classical,0,0,0,1,1,0,1,0,0,0,0,3
47,Female,Dutch,classical,0,1,1,1,0,0,0,0,0,1,0,3
37,Male,German,classical,0,1,1,0,0,0,1,0,0,1,0,3
28,Female,English,classical,0,0,1,0,1,0,0,0,0,1,0,2
25,Female,Russian,classical,0,0,0,0,0,0,0,1,1,1,0,2
33,Male,French,classical,0,1,0,0,0,0,0,0,0,1,0,1
26,Female,Dutch,classical,0,0,1,1,0,0,0,0,0,0,0,2
51,Male,Dutch,classical,0,0,0,0,0,0,0,0,1,0,0,1
26,Male,Russian,classical,0,0,1,0,1,0,0,0,0,0,1,2
21,Male,English,classical,0,1,0,0,0,0,0,1,1,1,0,3
22,Female,German,classical,0,0,0,0,1,0,0,0,0,0,1,1
29,Female,Russian,classical,0,0,0,1,1,0,0,0,1,0,0,3
45,Male,Korean,classical,0,1,0,1,0,0,0,0,1,1,0,3
25,Male,English,classical,0,0,0,1,0,0,0,0,1,0,1,2
30,Male,German,classical,0,0,0,1,0,0,0,0,0,1,0,1
42,Female,Dutch,classical,0,0,1,0,0,0,1,0,0,0,0,2
46,Female,French,classical,0,0,0,0,0,0,0,1,0,0,0,1
28,Male,Russian,classical,0,0,0,0,1,0,0,0,0,1,0,1
26,Male,Dutch,classical,0,0,0,1,1,0,0,0,0,1,0,2
61,Female,English,classical,0,0,1,1,1,0,0,0,0,1,0,3
37,Female,German,classical,0,0,0,1,1,0,0,1,0,1,0,3
40,Female,Dutch,classical,0,0,1,1,0,0,0,1,0,1,0,3
57,Female,English,classical,1,0,0,0,0,0,0,0,0,1,0,1
30,Male,Dutch,classical,0,0,0,1,1,0,0,1,0,0,0,3
40,Male,English,classical,0,1,1,0,1,0,0,0,0,1,0,3
24,Female,Dutch,classical,0,1,0,1,0,0,0,0,0,1,0,2
26,Female,Russian,classical,0,0,1,0,0,0,0,0,1,1,0,2
25,Female,Russian,classical,0,1,0,0,0,0,0,0,1,1,0,2
48,Male,German,classical,0,1,0,1,0,0,0,0,0,1,0,2
38,Female,Russian,classical,0,0,0,1,1,0,0,1,0,0,0,3
51,Male,English,classical,0,0,0,0,0,0,0,0,1,0,0,1
28,Female,English,classical,0,0,1,1,1,0,0,0,0,1,0,3
46,Male,English,classical,0,0,0,0,1,0,0,0,0,0,0,1
33,Male,Czech,classical,1,0,0,0,0,0,0,0,0,1,0,1
44,Female,French,classical,0,1,0,0,0,1,0,1,0,1,0,3
37,Male,Dutch,classical,0,1,1,1,0,0,0,0,0,1,0,3
28,Female,Estonian,classical,0,0,0,1,0,0,0,0,1,1,0,2
25,Female,Dutch,classical,0,0,1,0,0,1,0,0,0,1,0,2
51,Male,Spanish,classical,0,0,0,1,0,0,0,0,0,1,0,1
36,Female,Japanese,classical,0,0,0,1,0,0,0,0,1,0,0,2
46,Female,Dutch,classical,0,0,0,1,0,0,0,0,1,1,0,2
35,Male,Arabic,classical,1,0,0,0,0,0,0,0,0,0,0,1
28,Female,English,classical,0,0,0,0,1,0,1,0,0,0,1,2
27,Female,Chinese,classical,0,0,1,0,0,1,1,0,0,0,0,3
37,Male,German,classical,0,0,0,0,1,0,0,0,0,0,0,1
65,Male,French,classical,0,0,1,1,1,0,0,0,0,0,0,3
28,Female,English,classical,0,0,0,1,1,0,1,0,0,1,0,3
25,Female,Russian,classical,0,0,0,1,0,0,0,0,0,1,0,1
33,Male,French,classical,0,0,0,1,0,0,0,0,0,0,1,1
51,Male,Dutch,classical,0,1,0,0,1,0,0,0,0,1,0,2
26,Female,French,classical,0,1,1,1,0,0,0,0,0,1,0,3
22,Female,German,classical,0,0,0,1,0,0,0,0,0,1,0,1
33,Male,Russian,classical,0,0,1,0,1,0,0,0,0,0,0,2
20,Female,Dutch,classical,0,1,1,1,0,0,0,0,0,1,0,3
25,Male,English,classical,0,0,0,0,1,0,0,0,1,0,1,2
24,Female,Dutch,classical,0,1,0,0,1,0,1,0,0,1,0,3
30,Female,English,classical,0,0,0,1,0,1,0,0,0,1,0,2
29,Female,Russian,classical,0,0,0,1,1,0,0,0,0,0,0,2
45,Male,Korean,classical,1,0,0,0,1,0,1,0,0,1,0,3
28,Male,Russian,classical,0,0,0,0,1,0,0,0,0,0,0,1
37,Male,Dutch,classical,1,0,1,0,0,0,1,0,0,0,0,3
26,Male,Dutch,classical,0,0,0,0,0,0,0,1,0,0,0,1
40,Female,Dutch,classical,0,0,1,0,1,0,1,0,0,1,0,3
30,Male,Dutch,classical,0,0,0,1,1,0,0,0,1,0,1,3
23,Male,Russian,classical,0,1,0,0,0,0,0,0,0,1,0,1
40,Male,English,classical,0,0,1,0,1,0,0,0,0,1,0,2
24,Female,Dutch,classical,0,0,0,0,1,0,0,0,1,0,1,2
26,Female,Russian,classical,0,0,0,0,0,0,1,1,1,0,1,3
28,Male,Russian,classical,0,0,0,0,1,0,0,1,0,0,0,2
38,Female,Russian,classical,0,0,0,1,0,0,1,0,1,1,0,3
51,Male,English,classical,0,0,0,1,0,0,0,0,0,0,0,1
46,Male,English,classical,0,1,0,0,0,0,0,0,0,0,0,1
33,Male,Czech,classical,0,0,0,0,1,0,0,0,0,0,0,1
44,Female,French,classical,1,0,1,0,0,0,1,0,0,0,1,3
28,Female,Estonian,classical,0,0,0,0,1,0,0,0,1,1,0,2
25,Female,Dutch,classical,0,0,0,0,0,0,1,1,0,0,0,2
69,Female,German,classical,0,1,0,0,0,0,0,1,0,1,0,2
59,Female,Russian,classical,0,0,0,0,1,0,0,0,0,1,0,1
51,Male,Spanish,classical,0,0,0,0,1,0,0,0,0,0,0,1
36,Female,Japanese,classical,0,0,0,0,0,0,0,0,0,0,0,0
36,Female,Spanish,classical,0,0,0,0,1,0,0,0,0,0,0,1
37,Female,German,classical,0,1,0,0,1,1,0,0,0,0,0,3
46,Female,Dutch,classical,0,0,0,0,0,0,0,1,0,0,1,1
27,Female,French,classical,0,1,0,0,0,1,1,0,0,1,0,3
37,Male,German,classical,1,0,0,0,1,0,0,0,0,1,0,2
27,Female,Chinese,classical,0,0,0,0,0,1,1,0,1,1,0,3
47,Female,Dutch,classical,1,0,0,0,0,1,1,0,0,1,0,3
42,Female,Tamil,classical,1,0,0,0,0,0,1,0,0,1,0,2
22,Male,English,classical,1,0,1,0,0,0,1,0,0,0,0,3
16,Female,English,classical,1,0,0,0,0,0,1,1,0,1,0,3
51,Male,Dutch,classical,0,0,0,0,0,0,1,0,0,1,0,1
28,Male,Russian,classical,1,0,0,0,0,0,1,0,0,1,0,2
33,Male,Russian,classical,0,0,0,1,0,0,1,1,0,1,0,3
26,Female,French,classical,1,0,0,0,0,0,1,0,0,1,0,2
22,Female,German,classical,0,0,0,0,0,0,1,0,0,1,0,1
21,Male,English,classical,1,0,1,0,0,0,1,0,0,1,0,3
24,Female,Dutch,classical,0,0,0,0,0,1,1,0,0,1,0,2
30,Female,English,classical,0,0,1,0,0,1,0,0,0,0,1,2
29,Female,Russian,classical,0,0,0,0,0,0,1,0,0,1,0,1
30,Male,German,classical,0,0,0,0,0,0,1,0,0,0,1,1
49,Male,Swedish,classical,0,0,0,0,0,0,1,0,0,0,0,1
37,Male,Dutch,classical,0,0,1,0,1,0,1,0,0,1,0,3
26,Male,Dutch,classical,0,0,0,1,0,0,0,1,0,0,0,2
40,Female,Dutch,classical,1,0,0,0,1,0,1,0,0,0,0,3
40,Male,English,classical,0,0,0,0,0,0,1,0,0,0,1,1
26,Female,Russian,classical,1,1,0,0,0,0,1,0,0,1,0,3
24,Male,Portuguese,classical,0,0,0,1,0,0,0,0,0,0,0,1
26,Male,German,classical,0,0,1,0,1,0,1,0,0,1,0,3
48,Male,German,classical,0,0,0,0,0,0,1,0,0,1,0,1
38,Female,Russian,classical,0,1,0,0,0,0,1,0,0,1,0,2
51,Male,English,classical,0,0,0,0,0,0,1,0,0,0,0,1
46,Male,English,classical,0,0,0,0,0,0,1,0,0,0,0,1
33,Male,Czech,classical,1,0,0,0,0,0,0,0,0,0,0,1
37,Female,German,classical,0,1,0,0,0,0,1,1,0,0,0,3
23,Male,English,classical,0,0,1,0,0,0,1,0,0,1,0,2
20,Male,English,classical,0,0,1,0,1,0,1,0,0,0,0,3
45,Female,English,classical,0,0,0,0,0,0,1,1,0,0,0,2
36,Female,Spanish,classical,0,0,0,0,0,0,1,0,0,0,0,1
28,Female,Estonian,classical,0,0,0,0,0,0,1,1,0,1,0,2
69,Female,German,classical,0,0,0,0,0,1,1,0,0,1,0,2
23,Male,English,classical,1,0,0,1,0,0,1,0,0,1,0,3
25,Female,Dutch,classical,1,0,0,0,0,0,1,0,0,1,0,2
59,Female,Russian,classical,1,0,0,0,0,0,0,0,0,0,0,1
51,Male,Spanish,classical,1,0,0,0,0,1,0,0,0,1,0,2
36,Female,Japanese,classical,0,0,0,0,0,0,1,0,0,0,0,1
67,Male,English,classical,0,0,0,0,0,0,0,0,0,0,0,0
46,Female,Dutch,classical,0,0,0,0,0,1,1,0,0,1,0,2
28,Female,English,classical,1,0,0,0,0,0,1,0,0,0,1,2
65,Male,French,classical,0,0,0,0,0,1,1,1,0,0,0,3
42,Female,Tamil,classical,0,0,1,0,0,0,0,0,0,1,0,1
19,Male,English,classical,0,1,0,1,1,0,0,0,0,1,0,3
22,Female,German,classical,0,0,0,0,0,0,0,1,0,0,1,1
82,Male,English,classical,0,0,0,1,1,0,0,0,0,1,0,2
33,Male,Russian,classical,0,0,0,1,0,0,0,1,1,0,0,3
37,Male,Dutch,classical,0,1,0,0,1,0,0,0,1,1,0,3
26,Female,French,classical,0,0,0,0,1,0,0,0,0,0,1,1
24,Female,Dutch,classical,0,0,1,1,0,0,1,0,0,1,0,3
30,Female,English,classical,0,0,0,0,0,0,0,1,1,0,1,2
25,Male,French,classical,0,1,1,0,1,0,0,0,0,0,0,3
24,Male,Portuguese,classical,0,0,0,0,1,0,0,0,0,1,0,1
26,Male,Dutch,classical,0,0,0,1,0,0,0,0,0,0,0,1
41,Female,Dutch,classical,0,0,1,0,0,0,1,1,0,1,0,3
40,Female,Dutch,classical,0,1,1,0,1,0,0,0,0,1,0,3
22,Female,English,classical,1,0,0,0,0,0,1,1,0,0,0,3
26,Female,Russian,classical,0,0,1,1,0,0,1,0,0,0,1,3
51,Male,Dutch,classical,0,1,0,0,1,0,0,0,0,0,1,2
26,Male,German,classical,0,1,0,1,1,0,0,0,0,1,0,3
45,Female,English,classical,0,0,0,1,0,0,0,0,1,0,0,2
38,Female,Russian,classical,0,0,0,1,1,0,0,0,1,0,0,3
51,Male,English,classical,0,0,1,0,0,0,0,0,0,0,0,1
36,Female,Spanish,classical,0,1,0,0,0,0,0,0,0,0,0,1
37,Female,German,classical,0,0,1,0,1,0,1,0,0,0,0,3
25,Male,Russian,classical,0,0,0,0,0,0,0,0,0,0,1,0
46,Male,English,classical,0,0,0,0,0,0,0,1,0,0,0,1
29,Female,Romanian,classical,0,0,1,0,1,1,1,0,0,0,0,4
69,Female,German,classical,0,1,0,0,0,0,0,0,0,0,0,1
31,Female,Dutch,classical,0,0,1,1,0,0,1,0,0,1,0,3
23,Male,English,classical,0,1,1,0,1,0,0,0,0,0,0,3
59,Female,Russian,classical,1,0,0,0,0,0,0,0,0,1,0,1
51,Male,Spanish,classical,0,0,1,1,0,0,0,0,0,1,0,2
31,Male,English,classical,0,1,0,1,1,0,0,0,0,1,0,3
67,Male,English,classical,0,0,1,0,0,0,0,0,1,0,0,2
65,Male,French,classical,1,1,0,0,1,0,0,0,0,1,0,3
35,Male,Arabic,classical,0,0,1,0,0,0,0,0,0,0,0,1
33,Male,English,classical,0,0,0,0,1,0,0,0,0,0,1,1
27,Female,French,classical,0,0,1,0,1,0,0,1,0,1,0,3
30,Male,Italian,classical,0,0,0,0,1,0,0,0,0,0,1,1
27,Male,Spanish,classical,0,1,0,0,1,0,0,0,0,1,0,2
27,Female,Chinese,classical,0,0,0,0,1,1,1,0,0,1,0,3
47,Female,Dutch,classical,1,1,0,0,1,0,0,0,0,1,0,3
42,Female,Tamil,classical,0,0,0,0,0,0,0,0,1,0,1,1
22,Female,German,classical,0,1,0,0,0,0,0,0,0,0,1,1
25,Female,English,classical,0,1,0,0,0,0,0,0,1,1,0,2
82,Male,English,classical,0,0,0,1,1,0,0,0,0,0,0,2
25,Female,Russian,classical,0,0,1,0,1,0,0,0,0,1,0,2
37,Male,Dutch,classical,0,1,1,0,0,0,0,0,1,1,0,3
24,Female,Dutch,classical,1,0,0,0,0,1,0,0,1,1,0,3
45,Female,Dutch,classical,0,0,1,1,0,0,0,0,0,1,0,2
41,Female,Dutch,classical,1,0,1,0,1,0,0,0,0,1,0,3
49,Male,Swedish,classical,0,0,0,1,0,0,0,0,0,0,0,1
29,Female,Russian,classical,0,0,0,0,0,0,0,0,1,0,0,1
29,Male,English,classical,0,0,0,1,0,0,0,0,0,0,1,1
26,Male,Dutch,classical,0,0,0,1,0,0,0,0,1,0,0,2
37,Female,Chinese,classical,0,0,1,0,1,0,1,0,0,1,0,3
41,Female,Dutch,classical,0,0,0,1,0,0,0,0,1,0,1,2
40,Female,Dutch,classical,0,0,0,1,1,0,0,0,1,1,0,3
22,Female,English,classical,0,1,0,1,1,0,0,0,0,0,0,3
26,Female,Russian,classical,1,0,1,0,0,0,1,0,0,1,0,3
33,Male,Russian,classical,0,0,1,1,1,0,0,0,0,0,0,3
51,Male,Dutch,classical,0,0,0,0,1,0,0,0,1,1,0,2
45,Female,English,classical,1,0,0,0,1,0,0,0,1,0,0,3
48,Male,German,classical,0,1,0,0,0,0,0,0,0,1,0,1
46,Female,Dutch,classical,0,0,1,1,1,0,0,0,0,1,0,3
40,Female,Dutch,classical,0,1,0,0,1,0,0,0,1,1,0,3
38,Female,Russian,classical,0,0,0,1,0,0,0,1,1,1,0,3
31,Female,Dutch,classical,0,0,0,0,1,0,0,0,0,1,0,1
26,Male,Dutch,classical,0,1,1,0,1,0,0,0,0,0,1,3
51,Male,Spanish,classical,0,0,0,1,0,0,0,0,1,1,0,2
65,Male,French,classical,0,0,1,1,1,0,0,0,0,1,0,3
25,Male,French,classical,0,1,0,1,0,0,0,0,1,0,1,3
27,Male,Spanish,classical,0,1,0,0,1,0,0,0,0,0,0,2
27,Female,Chinese,classical,0,0,0,0,1,1,1,0,0,0,0,3
47,Female,Dutch,classical,1,0,1,0,1,0,0,0,0,1,0,3
24,Male,Portuguese,classical,0,0,0,1,0,0,0,0,0,0,1,1
26,Female,French,classical,0,1,0,0,0,0,0,0,1,0,1,2
23,Male,English,classical,0,1,1,1,0,0,0,0,0,0,0,3
25,Female,English,classical,0,0,0,0,0,1,1,0,0,1,0,2
57,Female,English,classical,0,0,0,0,0,0,0,1,0,0,1,1
33,Male,Russian,classical,1,0,0,0,0,0,1,1,0,0,0,3
51,Male,Dutch,classical,0,0,0,1,0,0,1,0,0,0,0,2
24,Male,Russian,classical,0,0,0,0,0,1,0,0,0,0,0,1
33,Male,Russian,classical,0,0,0,0,0,1,1,0,0,1,0,2
41,Female,Dutch,classical,0,0,0,0,0,0,1,0,1,1,1,2
25,Female,Russian,classical,1,0,0,0,0,1,0,0,0,0,0,2
37,Female,Chinese,classical,0,0,0,0,0,0,1,1,0,0,0,2
37,Male,Dutch,classical,0,1,1,0,0,0,1,0,0,0,0,3
24,Female,Dutch,classical,0,0,0,0,0,0,0,1,0,0,1,1
