"id","platform","content_id","creator_id","creator_name","content_type","content_category","post_date","language","content_length","content_description","hashtags","views","likes","shares","comments_count","comments_text","follower_count","disclosure_type","audience_age_distribution","audience_gender_distribution","audience_location","year","positive","negative","sentiment_score","sentiment_score_raw","emotional_intensity","word_count","emotional_connection_weighted","emotion_direction","satisfaction_raw","satisfaction","satisfaction_median","satisfaction_binary","satisfaction_log"
8497,"Bilibili","content_9719","creator_4719","iruiz","mixed","beauty",2023-09-24,"Chinese",492,"Smile energy head fact development phone drop news.","behind",10220,1489,318,218,"mother seven marriage report usually hot",532661,"none","13-18","female","UK",2023,1,0,1,1,1.5,6,1.65678300365567,"Positive",2025,5.39325842696629,4.97191011235955,1,7.61381868480863
12034,"YouTube","content_29527","creator_4527","philip81","image","beauty",2023-11-12,"Chinese",544,"Camera he film film chair teach know win message return usually medical democratic staff like grow give event himself receive girl crime wall.","since,decision,indicate,write",10229,1532,281,209,"ago upon contain perhaps thought year consumer what remain evening their pm choice right yet prevent bar discover either media almost how agreement friend",654196,"none","36-50","female","Russia",2023,1,0,1,1,1.5,24,2.08643399268866,"Positive",2022,5.30898876404494,4.97191011235955,1,7.61233683716775
47302,"TikTok","content_21514","creator_1514","jennifercooper","video","lifestyle",2025-03-21,"English",507,"Camera whatever they catch idea less great result direction government age chair outside build fact still game cultural significant art wall minute idea language either nature system adult deal city north money water improve onto knowledge through put standard management value.","draw,expert,cup",9888,1496,291,228,"son exist catch parent any draw seem have american simple detail food by detail ago price general into dark husband ever former leg rather of source military",815047,"none","13-18","female","Russia",2025,0,1,-1,-1,1.5,27,2.12468465620076,"Negative",2015,5.1123595505618,4.97191011235955,1,7.60887062919126
29040,"Instagram","content_38734","creator_3734","nlee","video","lifestyle",2024-07-08,"English",71,"Whom talk health because water know wife leave view discuss anything clear road able join industry.","lose,security,meeting,thought,general",10143,1503,309,217,"race door role public actually medical",206642,"explicit","13-18","female","Russia",2024,0,0,0,0,1,6,1.43785533577045,"Neutral",2029,5.50561797752809,4.97191011235955,1,7.61579107203583
4924,"RedNote","content_48440","creator_3440","anne98","video","beauty",2023-08-04,"Japanese",553,"Evening available seek pull without individual coach join would international low rate institution this fall investment expect significant team stage meeting plan.","marriage,step,wide,effect,analysis",10110,1518,311,222,"ever soldier same pressure goal back rather project news gun",632847,"explicit","19-25","female","Brazil",2023,0,0,0,0,1,10,1.53955792374237,"Neutral",2051,6.12359550561798,4.97191011235955,1,7.62657020629066
38678,"RedNote","content_34000","creator_4000","csmith","video","lifestyle",2024-11-18,"Spanish",80,"I theory enjoy apply others you view condition.","into",10215,1529,292,205,"challenge education find wind bring else rule real prepare child power left arm history office tell crime discover will test fly society tough",875124,"explicit","19-25","female","Brazil",2024,1,1,0,0,1,23,1.71510384364823,"Neutral",2026,5.42134831460674,4.97191011235955,1,7.614312146452
46097,"TikTok","content_35354","creator_354","kiara87","mixed","tech",2025-03-04,"English",502,"Nice hit explain part specific data like go civil success him rule may series property information technology often.","country",10133,1482,348,204,"agent own course man factor",707386,"none","26-35","male","Russia",2025,0,0,0,0,1,5,1.40316940861817,"Neutral",2034,5.64606741573034,4.97191011235955,1,7.6182510978767
22707,"YouTube","content_26474","creator_1474","munozandrew","video","tech",2024-04-10,"Spanish",431,"Including director themselves resource us beyond size along part radio matter trouble until boy major.","suddenly,woman",10217,1499,308,185,"eat computer dog sister cultural along red ever focus father travel always opportunity yard cold consider wear store guess",36753,"none","19-25","female","USA",2024,0,1,-1,-1,1.5,19,2.01111864888942,"Negative",1992,4.46629213483146,4.97191011235955,0,7.59739632021279
16426,"Bilibili","content_44090","creator_4090","barnettdarrell","video","lifestyle",2024-01-13,"Hindi",461,"Charge young at indicate that fight him everyone model recognize whatever charge program significant long contain significant page huge popular white civil few series boy responsibility eye continue eye.","nature,career,type,force",10064,1462,292,194,"word street public represent when media far challenge nothing themselves visit be church order song like particularly four bill",385681,"implicit","19-25","male","India",2024,1,0,1,1,1.5,19,2.01111864888942,"Positive",1948,3.23033707865169,4.97191011235955,0,7.57507169950756
18245,"RedNote","content_38225","creator_3225","jonesrobert","mixed","lifestyle",2024-02-08,"Chinese",93,"Hand character education town cell speech write throw most movie we age indeed baby yourself write process couple president center democratic forget simply statement black run picture.","summer,paper",10135,1459,296,199,"approach mention city actually financial final book campaign hard arrive buy certain million",110771,"none","50+","female","Brazil",2024,0,1,-1,-1,1.5,13,1.89073382992821,"Negative",1954,3.39887640449438,4.97191011235955,0,7.57814547241947
24601,"Instagram","content_13969","creator_3969","christinewilliams","text","tech",2024-05-08,"Spanish",160,"Let find figure picture near loss loss wide professor now seek day represent discover assume war.","produce,challenge,under,himself",10116,1498,314,190,"rock conference want fall close white matter free yes herself sound course bar house us take design save fly can political word",80224,"implicit","19-25","male","India",2024,1,1,0,0,1,22,1.70552737154305,"Neutral",2002,4.74719101123596,4.97191011235955,0,7.60240133566582
5153,"RedNote","content_33054","creator_3054","shahsteven","text","lifestyle",2023-08-07,"Hindi",565,"Improve bill social tend toward charge debate ball after series anyone husband school they fine artist night close east effort.","stuff,entire,allow,decade",10161,1504,301,200,"thus discover two much star cold order help meet change particularly simple baby discover think whom magazine",732976,"none","36-50","male","USA",2023,0,1,-1,-1,1.5,17,1.97555739958197,"Negative",2005,4.8314606741573,4.97191011235955,0,7.60389796852188
10999,"YouTube","content_25081","creator_81","dsmith","text","beauty",2023-10-29,"Hindi",210,"Difference foreign product none probably thousand less eat enter speak listen simple through usually determine financial fill cause operation little change well contain home final five activity close fire half.","strategy",10164,1489,280,186,"federal citizen present assume form probably officer nice production yes call nor staff either direction conference federal generation maybe author interesting free recently admit close",252710,"none","36-50","male","Brazil",2023,3,0,3,3,2.5,25,2.83278625983898,"Positive",1955,3.42696629213483,4.97191011235955,0,7.57865685059476
34083,"YouTube","content_29117","creator_4117","elizabethbean","video","lifestyle",2024-09-14,"English",163,"Car debate indeed husband clearly hold voice easy recent already teacher.","could,down,lawyer",10193,1572,318,210,"discover send voice one front suffer front send during summer eat cut find international",812822,"none","26-35","female","Germany",2024,0,1,-1,-1,1.5,14,1.91402028299904,"Negative",2100,7.5,4.97191011235955,1,7.650168700845
17221,"RedNote","content_39956","creator_4956","emily00","video","lifestyle",2024-01-25,"Chinese",413,"Because quite room near cause available table increase mention degree present piece no full participant be data and course nation wind direction check similar.","part,move,letter,particularly,necessary",10031,1531,344,176,"voice large charge according threat purpose might other hotel southern evidence top hot treat deep alone half point record capital",957603,"explicit","13-18","female","China",2024,2,1,1,1,1.5,20,2.02758629031038,"Positive",2051,6.12359550561798,4.97191011235955,1,7.62657020629066
47605,"RedNote","content_13202","creator_3202","allenmitchell","video","lifestyle",2025-03-25,"English",161,"Fill blue send TV after try remember continue national leave author born only of foot southern single defense instead civil.","kitchen,generation,impact,laugh",10199,1560,323,173,"often role without star skill help light",968292,"none","19-25","male","Russia",2025,1,0,1,1,1.5,7,1.70185247881763,"Positive",2056,6.26404494382022,4.97191011235955,1,7.62900388965296
22457,"Instagram","content_5088","creator_88","robinsonmisty","video","tech",2024-04-07,"Chinese",153,"Interesting despite south natural blood meeting generation hold age I TV leave executive job these administration back kitchen.","check,build,side",10240,1505,281,202,"well democratic threat per second green mrs describe material focus child whatever get action walk decade star eight sport other left operation rather capital its turn trade",401768,"none","13-18","female","China",2024,1,1,0,0,1,27,1.7497897708005,"Neutral",1988,4.35393258426966,4.97191011235955,0,7.59538727885397
34805,"Instagram","content_15225","creator_225","whill","video","tech",2024-09-24,"English",10,"Throw somebody price computer with seek media ahead central stock edge close speech white question meeting.","still,respond",10114,1527,289,182,"try tv daughter hear machine drug film white maybe view recently bring arm look big chance father field baby deep down capital end myself focus",770049,"none","26-35","male","Russia",2024,0,0,0,0,1,25,1.73311450393559,"Neutral",1998,4.63483146067416,4.97191011235955,0,7.6004023345004
2861,"TikTok","content_32304","creator_2304","daniel29","video","beauty",2023-07-07,"Hindi",79,"Then shoulder we technology help close compare lead address opportunity I people program white two wall loss reason week practice local now including watch.","enjoy,onto,purpose,mission",10259,1472,293,194,"instead police very sense focus race certainly off kitchen hospital",465199,"none","19-25","female","India",2023,0,0,0,0,1,10,1.53955792374237,"Neutral",1959,3.53932584269663,4.97191011235955,0,7.58069975222456
30485,"RedNote","content_4801","creator_4801","evanstiffany","video","lifestyle",2024-07-28,"English",16,"Point special produce reach claim Republican exactly born book risk than teach job morning outside performance up its culture well seek whom against probably all improve off already best wind everyone culture town.","avoid,rule,yard",10172,1479,328,181,"commercial reflect television history image adult crime professional end ready message go expect",843325,"none","19-25","female","India",2024,1,1,0,0,1,13,1.59382255328547,"Neutral",1988,4.35393258426966,4.97191011235955,0,7.59538727885397
25506,"YouTube","content_49825","creator_4825","christinecox","video","lifestyle",2024-05-21,"Hindi",97,"Give while president see box international situation offer for president do share industry different positive interview media morning great.","hundred,capital,simple,customer",10189,1590,285,187,"rate man hold knowledge boy she enter we break turn edge phone real economy west above dog relationship position likely recent shake knowledge condition effort figure husband affect third me",919488,"implicit","19-25","female","India",2024,0,2,-2,-2,2,30,2.54538442710853,"Negative",2062,6.43258426966292,4.97191011235955,1,7.63191651307125
37537,"RedNote","content_37112","creator_2112","robert93","mixed","lifestyle",2024-11-02,"English",487,"Certainly rather yes voice present important according team skin form others speech I popular reality wish leader possible official star during doctor low dark piece practice move fire source stay make hotel opportunity subject rather situation.","full",10078,1540,279,220,"one behavior fall between deal fight summer senior their provide find green management open right picture would",129897,"none","50+","male","Germany",2024,1,1,0,0,1,17,1.65037159972131,"Neutral",2039,5.78651685393258,4.97191011235955,1,7.62070508683826
27319,"Instagram","content_2578","creator_2578","xhenderson","video","beauty",2024-06-15,"Spanish",90,"One suffer institution customer figure blood name example professional rise finally hard choice no former study also around summer.","realize,increase",9969,1505,295,215,"everybody evening deal performance real now position together fact do over policy identify remain sign note ever fast example low perhaps forget worker size production quickly measure loss play",409909,"none","26-35","male","Russia",2024,1,1,0,0,1,29,1.76531407284772,"Neutral",2015,5.1123595505618,4.97191011235955,1,7.60887062919126
16701,"YouTube","content_48050","creator_3050","jmartinez","video","lifestyle",2024-01-17,"English",174,"Home wide walk very executive guy reality cut.","site,sell,reality,relate,example",10116,1472,307,186,"say part play much arm use admit two account use nearly war challenge image green guess build make eye defense lose company over almost gas life",741411,"none","50+","male","Brazil",2024,0,1,-1,-1,1.5,26,2.11240985996413,"Negative",1965,3.70786516853933,4.97191011235955,0,7.58375630070711
49023,"YouTube","content_18504","creator_3504","adam69","video","beauty",2025-04-14,"Chinese",36,"Ever city follow stop rate recognize for fear operation live yes protect former above understand once serious arm consider government.","meeting,protect,win,force",10224,1501,309,209,"machine listen walk two price personal recently i",777835,"none","19-25","male","Japan",2025,0,0,0,0,1,8,1.49440438220628,"Neutral",2019,5.2247191011236,4.97191011235955,1,7.61085279039525
48908,"Bilibili","content_34467","creator_4467","claytonconner","video","lifestyle",2025-04-12,"Hindi",63,"Not ahead past vote my bill agent minute leave arm dream leave old middle send letter car maybe seven care sister alone recent who address.","herself,process,side,again,own",10113,1593,287,211,"rather hotel their build likely out policy i wall produce tell pressure reflect",779200,"none","26-35","female","USA",2025,0,0,0,0,1,13,1.59382255328547,"Neutral",2091,7.24719101123596,4.97191011235955,1,7.64587582518481
43594,"Instagram","content_10277","creator_277","michael92","video","tech",2025-01-27,"Chinese",40,"Go truth beat too fight local direction woman finally white maintain whom leader five also strong wait ask speech week I material member outside.","together,certain",9898,1513,284,209,"hospital responsibility above next fall five step recent ready",817200,"none","19-25","female","China",2025,1,1,0,0,1,9,1.51811188174458,"Neutral",2006,4.85955056179775,4.97191011235955,0,7.60439634879634
17848,"TikTok","content_46068","creator_1068","brandon61","image","lifestyle",2024-02-03,"English",532,"Word table theory media ahead health thing seven during water deal attention just I.","young",10119,1517,288,203,"only little experience them party data shake writer mr space receive field its realize show candidate person off cause again because throw",440709,"none","36-50","female","Germany",2024,0,1,-1,-1,1.5,22,2.05829105731458,"Negative",2008,4.91573033707865,4.97191011235955,0,7.60539236481493
16247,"RedNote","content_45028","creator_28","williamsoscar","video","tech",2024-01-11,"Japanese",185,"Its despite culture history ground be none day soon form moment memory finish part.","onto,book,specific,those",10117,1477,309,243,"season news sort author language before partner help training partner run strong work over system product hear without model happen bit push least have building she",344982,"explicit","19-25","male","India",2024,2,0,2,2,2,26,2.48321314661885,"Positive",2029,5.50561797752809,4.97191011235955,1,7.61579107203583
27499,"Instagram","content_22207","creator_2207","nortonjoshua","image","lifestyle",2024-06-17,"English",67,"Across possible number according provide near available defense return just develop manage similar.","everyone,statement,catch",10020,1498,279,184,"anyone challenge community home already approach seat",249383,"none","26-35","female","India",2024,0,0,0,0,1,7,1.46790165254509,"Neutral",1961,3.59550561797753,4.97191011235955,0,7.58171964012531
31353,"TikTok","content_35066","creator_66","murraynatalie","video","lifestyle",2024-08-09,"Chinese",164,"Current second though college same bad she near daughter majority gas media.","air,place,section,trip,in",9941,1580,320,198,"early loss much near always training mouth west dark she activity decide fish dog",969208,"explicit","19-25","male","USA",2024,0,2,-2,-2,2,14,2.21869371066539,"Negative",2098,7.4438202247191,4.97191011235955,1,7.64921631982063
42286,"TikTok","content_48620","creator_3620","deborah47","video","lifestyle",2025-01-07,"English",93,"Skin analysis two until study officer serious example describe offer subject cup they could lot couple side else professor environmental seem.","degree,including,great",9923,1475,282,192,"method film city account wear lot book",450828,"none","13-18","male","Brazil",2025,0,0,0,0,1,7,1.46790165254509,"Neutral",1949,3.25842696629214,4.97191011235955,0,7.57558465155779
5369,"Bilibili","content_24914","creator_4914","lori66","video","lifestyle",2023-08-10,"English",61,"Us not his tough effect now kid wall control arm road wide majority country yeah along trouble until order really involve reach meeting from drive defense exist perhaps.","four,along,treatment,film,gas",10025,1483,314,204,"class trade child speak direction sister ever budget method chance happen business recognize training generation treatment land rise continue side natural live class play laugh",372664,"none","26-35","male","USA",2023,0,0,0,0,1,25,1.73311450393559,"Neutral",2001,4.71910112359551,4.97191011235955,0,7.60190195987517
35204,"TikTok","content_26532","creator_1532","amandaclark","video","beauty",2024-10-01,"Hindi",502,"Physical whole hospital activity always recognize traditional radio say chance key store analysis kid guess friend.","discussion,smile",9985,1536,299,189,"interest thank wife member especially week between responsibility region company different increase",199835,"none","26-35","male","India",2024,1,0,1,1,1.5,12,1.86572092963085,"Positive",2024,5.36516853932584,4.97191011235955,1,7.61332497954064
14269,"Instagram","content_41953","creator_1953","mmedina","image","beauty",2023-12-14,"English",193,"Choice now entire director gun save simply region assume budget plan stuff little art over high foreign single page wrong parent meeting our commercial.","development,player,task,although",10047,1444,301,222,"civil behavior great by risk stock single pattern matter still sort base none fight level thousand article arrive we push early",959525,"explicit","26-35","female","Germany",2023,1,1,0,0,1,21,1.6955251412574,"Neutral",1967,3.76404494382022,4.97191011235955,0,7.5847730776122
7149,"RedNote","content_2343","creator_2343","andrewcrawford","video","lifestyle",2023-09-04,"English",414,"Party war letter perhaps building miss treat let simply responsibility.","this",10138,1479,297,205,"entire executive food tree moment serve condition meet congress at smile single worry space beat employee fish lead likely organization throw might draw",295261,"none","19-25","female","Brazil",2023,2,1,1,1,1.5,23,2.07265576547234,"Positive",1981,4.15730337078652,4.97191011235955,0,7.59186171488993
24363,"YouTube","content_38651","creator_3651","brianaavery","video","tech",2024-05-04,"English",222,"Decade keep culture threat quickly usually point shake future suffer.","federal,everybody",10238,1517,315,208,"hard writer north process ask city source catch down range alone effort democratic politics foot run keep floor can long home memory evidence indicate office test result",356307,"implicit","19-25","male","Brazil",2024,0,1,-1,-1,1.5,27,2.12468465620076,"Negative",2040,5.81460674157303,4.97191011235955,1,7.62119516280984
14917,"Instagram","content_17094","creator_2094","pricejason","mixed","lifestyle",2023-12-23,"Hindi",119,"Report leave production success with sister relate factor walk bed already subject team factor right.","share",10135,1514,284,202,"their dog able service one toward field friend player process people land so republican lay sign remain example defense hit shoulder worker and let determine red door",491876,"none","26-35","female","Japan",2023,0,0,0,0,1,27,1.7497897708005,"Neutral",2000,4.69101123595506,4.97191011235955,0,7.60140233458373
29892,"TikTok","content_24197","creator_4197","santosteresa","video","tech",2024-07-20,"English",164,"Collection audience major measure now not large economic say eye.","process,war,second,interesting",10088,1541,292,194,"place program federal wide prepare lawyer sort night course person mouth another foot different turn responsibility international school stage pattern",781248,"none","26-35","male","USA",2024,0,0,0,0,1,20,1.68505752687359,"Neutral",2027,5.44943820224719,4.97191011235955,1,7.61480536471107
46747,"YouTube","content_3779","creator_3779","victoriagreen","video","tech",2025-03-13,"Japanese",109,"Mission half language color single describe ok data but front.","as,likely,tell,over",10199,1439,302,229,"person likely must song congress agency much together keep best building owner task their fire agreement from lose interest improve affect including cost",802825,"explicit","19-25","female","Germany",2025,2,1,1,1,1.5,23,2.07265576547234,"Positive",1970,3.84831460674157,4.97191011235955,0,7.58629630715272
44247,"Instagram","content_24600","creator_4600","breannajohnson","video","beauty",2025-02-05,"Chinese",321,"Five why among church resource kid view whether work citizen hand.","source,letter,story",10174,1506,285,195,"project general always public threat between trial issue fill evening receive best election attention hot him form",312186,"none","26-35","female","China",2025,2,2,0,0,1,17,1.65037159972131,"Neutral",1986,4.29775280898876,4.97191011235955,0,7.59438124255182
19402,"TikTok","content_6779","creator_1779","smorrison","image","lifestyle",2024-02-24,"English",324,"Stage fall day cell above ready him new wait religious necessary.","truth",10067,1561,296,209,"bring check guess agree quite walk support",555969,"implicit","13-18","male","USA",2024,1,0,1,1,1.5,7,1.70185247881763,"Positive",2066,6.54494382022472,4.97191011235955,1,7.63385355968177
11076,"Bilibili","content_50878","creator_878","austinmcpherson","video","lifestyle",2023-10-30,"Japanese",153,"Knowledge military ground drop build report lose present seat although win movement brother hear.","physical",10085,1481,296,182,"skin another often official",447306,"none","26-35","female","China",2023,0,0,0,0,1,4,1.36214466422955,"Neutral",1959,3.53932584269663,4.97191011235955,0,7.58069975222456
45388,"TikTok","content_4806","creator_4806","pgardner","image","beauty",2025-02-22,"English",399,"Ten mission idea way finally rock weight week example number debate.","never",9866,1470,308,192,"wonder central paper ready paper film final himself improve when something herself public pass product each high north over dream",737465,"none","26-35","female","UK",2025,3,0,3,3,2.5,20,2.71264381718397,"Positive",1970,3.84831460674157,4.97191011235955,0,7.58629630715272
32355,"Bilibili","content_28436","creator_3436","murphyshawn","video","tech",2024-08-22,"English",15,"Defense together reflect family build easy work design voice other heart know land in wear choice arrive get beat school personal evening.","player,particularly",10012,1554,291,182,"data security interview sometimes name response dark will his source enjoy least reflect star force company clearly cut itself read give address now course",158817,"explicit","19-25","female","Germany",2024,2,1,1,1,1.5,24,2.08643399268866,"Positive",2027,5.44943820224719,4.97191011235955,1,7.61480536471107
37108,"RedNote","content_51866","creator_1866","hreynolds","text","tech",2024-10-27,"English",105,"Wish sure article never ready side according girl center science threat identify wind student energy personal perform cup part collection side by public opportunity.","meeting,these,future,day,wish",10069,1538,306,195,"cover than fine hair including either more year own read action poor cold democratic leave body practice perhaps",942892,"none","26-35","male","Russia",2024,1,2,-1,-1,1.5,18,1.993806151716,"Negative",2039,5.78651685393258,4.97191011235955,1,7.62070508683826
36555,"YouTube","content_12601","creator_2601","joanne70","video","beauty",2024-10-19,"Chinese",597,"Small behavior radio adult democratic research easy total power nation world sea early.","husband,tonight,left,American,within",9976,1470,310,184,"about couple beyond close anyone occur national step support high property thus stuff might news late decide however process high water type source",27171,"implicit","19-25","male","Japan",2024,1,0,1,1,1.5,23,2.07265576547234,"Positive",1964,3.67977528089888,4.97191011235955,0,7.58324752430336
36848,"RedNote","content_6760","creator_1760","rodriguezterry","mixed","lifestyle",2024-10-23,"English",450,"Kitchen involve six final her region computer so boy send organization natural pull generation worry agent without brother way animal form how.","style,bed",9828,1483,302,206,"industry television case place him",987549,"explicit","19-25","male","Russia",2024,0,0,0,0,1,5,1.40316940861817,"Neutral",1991,4.43820224719101,4.97191011235955,0,7.59689443814454
34675,"Bilibili","content_2231","creator_2231","laurieaustin","video","tech",2024-09-22,"Chinese",60,"North him and anyone music plant second think word able wonder office something activity wall back unit citizen detail early nearly gas authority those.","their,rich",10345,1472,302,215,"daughter exist military wide behavior improve free front five source toward man draw mission figure understand american kitchen prove prepare other discuss listen change eye",977135,"none","19-25","male","India",2024,2,0,2,2,2,25,2.46622900787119,"Positive",1989,4.38202247191011,4.97191011235955,0,7.59588991771854
30033,"Instagram","content_29925","creator_4925","amandaperez","video","beauty",2024-07-22,"Japanese",101,"Middle discussion make realize role plan join finish future interest see call shoulder network look name player hundred.","draw,significant",10112,1473,283,208,"store city floor action professor agent set ground scene tree perhaps herself various simple experience state compare program easy statement simply foreign account",596128,"implicit","26-35","female","India",2024,1,0,1,1,1.5,23,2.07265576547234,"Positive",1964,3.67977528089888,4.97191011235955,0,7.58324752430336
15117,"Instagram","content_48836","creator_3836","ruizstephanie","video","lifestyle",2023-12-26,"English",246,"Begin head standard traditional oil PM fill yard store friend activity other choice choice anything later situation type little movement civil price address physical yeah.","person,risk,daughter,our",10143,1458,325,199,"deal exist experience stop specific reveal quality ten pull late close three",784760,"none","26-35","female","Russia",2023,0,0,0,0,1,12,1.57714728642056,"Neutral",1982,4.18539325842697,4.97191011235955,0,7.5923661285198
24795,"Bilibili","content_3472","creator_3472","torresadam","video","tech",2024-05-10,"Chinese",204,"Crime might play machine car age together agree lose reach friend experience worker determine southern strategy listen quite our yard theory recent people cause happy reality defense best run chair rest.","so,lead,century,at",9942,1466,286,193,"power investment sell child true today feeling mention manage there",714906,"none","26-35","female","Brazil",2024,0,0,0,0,1,10,1.53955792374237,"Neutral",1945,3.14606741573034,4.97191011235955,0,7.57353126274595
68,"YouTube","content_22772","creator_2772","perezkaren","video","beauty",2023-05-29,"English",370,"Page reason check half he visit old they foreign share through generation very.","agent,appear,watch,better",10031,1529,287,197,"item executive hundred live design picture ability wide everything know common office little region",103253,"none","36-50","female","China",2023,0,0,0,0,1,14,1.6093468553327,"Neutral",2013,5.0561797752809,4.97191011235955,1,7.60787807327851
25945,"Bilibili","content_29259","creator_4259","hmartin","text","lifestyle",2024-05-27,"English",78,"Range style foreign sing really who family very wall.","enough,wait,five",10100,1571,285,176,"camera increase contain firm hospital east often relate drug national agency turn sea cover off who summer security bag part free",976976,"none","19-25","female","China",2024,1,0,1,1,1.5,21,2.0432877118861,"Positive",2032,5.58988764044944,4.97191011235955,1,7.61726781362835
44876,"Bilibili","content_39087","creator_4087","caleb86","image","beauty",2025-02-14,"Japanese",530,"Decade why represent think news contain personal rate interesting guy never small second trade nor institution concern age site generation certain letter safe color.","suggest",9941,1484,298,205,"but improve partner every order million health second professional surface those reality forward raise section financial inside official relationship likely view deep",933145,"implicit","19-25","male","UK",2025,1,0,1,1,1.5,22,2.05829105731458,"Positive",1987,4.32584269662921,4.97191011235955,0,7.59488438721652
13207,"Instagram","content_7647","creator_2647","jamiewalker","video","lifestyle",2023-11-29,"Chinese",13,"Magazine best many especially price today green door out various movie themselves.","simply,people,shoulder,consider",10170,1564,320,206,"performance color street thousand task the raise series official make single question may theory real way dog seek parent make protect by mind arm especially history",581072,"explicit","36-50","male","Russia",2023,1,0,1,1,1.5,26,2.11240985996413,"Positive",2090,7.21910112359551,4.97191011235955,1,7.64539769942863
